,Time,Mean,Total op
0,0,97.53333333333333,15
1,1,-17.666666666666668,3
2,5,-24.0,1
3,6,22.0,32
4,7,0.3695652173913043,46
5,8,-1.2790697674418605,43
6,9,1.28125,64
7,10,3.403225806451613,62
8,11,9.753623188405797,69
9,12,14.660377358490566,53
10,13,4.333333333333333,39
11,14,14.041666666666666,48
12,15,4.7727272727272725,44
13,16,7.26,50
14,17,13.955555555555556,45
15,18,5.372881355932203,59
16,19,11.053571428571429,56
17,20,9.36,50
18,21,6.230769230769231,39
19,22,-4.961538461538462,26
20,23,8.5,32
21,24,0.0,8
22,25,-8.0,4
23,29,2.0,1
24,30,3.1153846153846154,26
25,31,7.294117647058823,34
26,32,1.7837837837837838,37
27,33,9.255813953488373,43
28,34,8.019607843137255,51
29,35,10.297872340425531,47
30,36,11.088235294117647,34
31,37,5.869565217391305,23
32,38,6.78125,32
33,39,9.441176470588236,34
34,40,-0.8235294117647058,34
35,41,3.7948717948717947,39
36,42,3.0285714285714285,35
37,43,-1.6585365853658536,41
38,44,0.0,31
39,45,-1.0571428571428572,35
40,46,5.777777777777778,18
41,47,8.307692307692308,26
42,48,-12.5,2
43,49,-17.333333333333332,3
44,51,5.0,1
45,53,0.0,1
46,54,-1.1666666666666667,24
47,55,-2.9310344827586206,29
48,56,-1.1875,32
49,57,6.040816326530612,49
50,58,-4.020408163265306,49
51,59,0.45652173913043476,46
52,60,4.973684210526316,38
53,61,8.0,29
54,62,0.3611111111111111,36
55,63,4.583333333333333,36
56,64,9.725,40
57,65,0.5555555555555556,36
58,66,6.4222222222222225,45
59,67,5.555555555555555,45
60,68,7.3428571428571425,35
61,69,-0.11764705882352941,34
62,70,-8.952380952380953,21
63,71,4.958333333333333,24
64,72,-7.666666666666667,3
65,73,9.333333333333334,3
66,77,-2.0,1
67,78,3.8076923076923075,26
68,79,10.46875,32
69,80,0.6923076923076923,39
70,81,9.46938775510204,49
71,82,13.781818181818181,55
72,83,7.622641509433962,53
73,84,20.585365853658537,41
74,85,16.03030303030303,33
75,86,12.0,39
76,87,17.694444444444443,36
77,88,10.076923076923077,39
78,89,20.21951219512195,41
79,90,19.377777777777776,45
80,91,16.814814814814813,54
81,92,14.681818181818182,44
82,93,8.0,29
83,94,11.35,20
84,95,39.5625,32
85,96,525.2,5
86,97,-11.5,2
87,101,22.0,1
88,102,2.0344827586206895,29
89,103,-1.2972972972972974,37
90,104,8.225,40
91,105,5.303571428571429,56
92,106,4.2,60
93,107,8.857142857142858,63
94,108,7.672413793103448,58
95,109,11.488372093023257,43
96,110,10.854166666666666,48
97,111,7.238095238095238,42
98,112,11.03448275862069,58
99,113,13.2,55
100,114,13.854545454545455,55
101,115,30.37704918032787,61
102,116,5.519230769230769,52
103,117,12.763157894736842,38
104,118,49.25,28
105,119,7.709677419354839,31
106,120,98.92307692307692,13
107,121,-7.666666666666667,3
108,122,-31.0,1
109,125,16.0,1
110,126,3.3666666666666667,30
111,127,0.9166666666666666,36
112,128,-2.3846153846153846,26
113,129,-2.8297872340425534,47
114,130,4.535714285714286,56
115,131,6.868852459016393,61
116,132,24.72340425531915,47
117,133,11.428571428571429,35
118,134,3.5,28
119,135,-0.05555555555555555,36
120,136,5.073170731707317,41
121,137,10.08108108108108,37
122,138,3.3,30
123,139,3.65,40
124,140,1.4074074074074074,27
125,141,0.6818181818181818,22
126,142,3.923076923076923,13
127,143,4.0,21
128,144,11.333333333333334,3
129,145,174.5,4
130,147,-0.5,2
131,148,-17.0,1
132,149,-4.0,1
133,150,0.8888888888888888,27
134,151,1.5416666666666667,24
135,152,-3.6842105263157894,38
136,153,-1.575,40
137,154,-0.8727272727272727,55
138,155,3.1481481481481484,54
139,156,9.23076923076923,52
140,157,0.5945945945945946,37
141,158,2.1041666666666665,48
142,159,3.4782608695652173,46
143,160,3.9245283018867925,53
144,161,4.516666666666667,60
145,162,2.3793103448275863,58
146,163,7.2272727272727275,66
147,164,6.866666666666666,60
148,165,7.0,42
149,166,4.90625,32
150,167,9.794117647058824,34
