,City,Operation,Time block,Delay
1081,Palma Mallorca,Arrival,20,-18.0
1082,Madrid,Arrival,20,-8.0
1083,Sevilla,Arrival,20,-10.0
1084,Bilbao,Arrival,21,-20.0
1085,Alicante,Arrival,21,-14.0
1086,Amsterdam,Arrival,21,28.0
1087,Asturias,Arrival,21,-17.0
1088,Paris,Arrival,21,-5.0
1089,Florence,Arrival,21,31.0
1090,Menorca,Arrival,22,-21.0
1091,Zurich,Arrival,22,24.0
1092,London,Arrival,22,13.0
1093,Munich,Arrival,22,26.0
1094,Palma Mallorca,Arrival,22,-22.0
1095,Bilbao,Arrival,22,-6.0
1096,Rome,Arrival,22,9.0
1097,Milan,Arrival,22,71.0
1098,Manchester,Arrival,22,21.0
1099,Ibiza,Arrival,23,-15.0
1100,Vigo,Arrival,23,22.0
1101,Malaga,Arrival,23,-5.0
1102,Paris,Arrival,23,25.0
1103,Marseille,Arrival,23,70.0
1104,Paris,Arrival,23,39.0
1105,Brussels,Arrival,23,61.0
1106,Venice,Arrival,23,62.0
1107,Lisbon,Arrival,23,-5.0
1108,Prague,Arrival,23,55.0
1109,Amsterdam,Arrival,23,35.0
1110,La Coruna,Arrival,23,93.0
1111,London,Arrival,23,21.0
1112,Naples,Arrival,23,65.0
1113,Bologna,Departure,6,-3.0
1114,Florence,Departure,6,0.0
1115,Tangier,Departure,6,12.0
1116,Las Palmas,Departure,6,-3.0
1117,Alicante,Departure,6,12.0
1118,Brussels,Departure,6,-1.0
1119,Asturias,Departure,6,11.0
1120,Sevilla,Departure,6,-9.0
1121,Malaga,Departure,7,0.0
1122,Bilbao,Departure,7,0.0
1123,Madrid,Departure,7,3.0
1124,Munich,Departure,7,0.0
1125,Paris,Departure,7,1.0
1126,Palma Mallorca,Departure,7,8.0
1127,Venice,Departure,7,4.0
1128,Amsterdam,Departure,7,-6.0
1129,Ibiza,Departure,7,-7.0
1130,Lisbon,Departure,7,0.0
1131,Zurich,Departure,7,2.0
1132,Athens,Departure,7,-1.0
1133,Menorca,Departure,7,18.0
1134,Copenhagen,Departure,7,13.0
1135,Vigo,Departure,7,3.0
1136,Granada,Departure,7,-2.0
1137,London,Departure,7,2.0
1138,Naples,Departure,7,-3.0
1139,Vienna,Departure,7,24.0
1140,Bari,Departure,7,-2.0
1141,Paris,Departure,7,-5.0
1142,Tenerife,Departure,8,10.0
1143,Paris,Departure,8,-10.0
1144,Madrid,Departure,8,0.0
1145,Palma Mallorca,Departure,8,-6.0
1146,Alicante,Departure,8,3.0
1147,Bilbao,Departure,8,-7.0
1148,Malaga,Departure,9,1.0
1149,Menorca,Departure,9,5.0
1150,Sevilla,Departure,9,0.0
1151,Ibiza,Departure,9,1.0
1152,Santiago De Compostela,Departure,9,79.0
1153,Paris,Departure,9,-1.0
1154,Palma Mallorca,Departure,9,-3.0
1155,La Coruna,Departure,9,5.0
1156,Rome,Departure,9,38.0
1157,London,Departure,9,6.0
1158,Madrid,Departure,9,-4.0
1159,Milan,Departure,10,-5.0
1160,Amsterdam,Departure,10,10.0
1161,Lanzarote,Departure,10,95.0
1162,Sevilla,Departure,10,5.0
