,Scheduled Date,City,IATA,Airline,Flight,Operation,Scheduled Time,Terminal,Status,Real Date,Real Time,Gate
0,2019-12-09,Buenos Aires,(EZE),Iberia ,IB2601,Departure,01:30,1, Landed - On-time,2019-12-09,01:23,D16
1,2019-12-09,Palma Mallorca,(PMI),Swiftair,WT112,Departure,04:30,, En Route,2019-12-09,04:30,-
2,2019-12-09,Algiers,(ALG),Vueling ,VY7476,Departure,06:00,1, Landed - On-time,2019-12-09,05:52,E73
3,2019-12-09,Algiers,(ALG),Iberia ,IB5682,Departure,06:00,1, Landed - On-time,2019-12-09,05:52,E73
4,2019-12-09,Amsterdam,(AMS),KLM ,KL1662,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
5,2019-12-09,Amsterdam,(AMS),China Airlines ,CI9394,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
6,2019-12-09,Amsterdam,(AMS),China Southern Airlines ,CZ7795,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
7,2019-12-09,Amsterdam,(AMS),Delta Air Lines ,DL9678,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
8,2019-12-09,Amsterdam,(AMS),Etihad Airways ,EY7354,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
9,2019-12-09,Amsterdam,(AMS),Gol ,G35681,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
10,2019-12-09,Amsterdam,(AMS),Garuda Indonesia ,GA9247,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
11,2019-12-09,Amsterdam,(AMS),Kenya Airways ,KQ1662,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
12,2019-12-09,Amsterdam,(AMS),Xiamen Airlines ,MF9680,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
13,2019-12-09,Amsterdam,(AMS),China Eastern Airlines ,MU1840,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
14,2019-12-09,Amsterdam,(AMS),UIA ,PS9432,Departure,06:00,1, Landed - On-time,2019-12-09,06:04,B32
15,2019-12-09,Frankfurt,(FRA),Lufthansa ,LH1139,Departure,06:00,1, Landed - On-time,2019-12-09,05:58,C72
16,2019-12-09,Frankfurt,(FRA),Air Canada ,AC9183,Departure,06:00,1, Landed - On-time,2019-12-09,05:58,C72
17,2019-12-09,Frankfurt,(FRA),SAS ,SK3391,Departure,06:00,1, Landed - On-time,2019-12-09,05:58,C72
18,2019-12-09,Frankfurt,(FRA),United Airlines ,UA9194,Departure,06:00,1, Landed - On-time,2019-12-09,05:58,C72
19,2019-12-09,Frankfurt,(FRA),Oman Air ,WY5539,Departure,06:00,1, Landed - On-time,2019-12-09,05:58,C72
20,2019-12-09,Bologna,(BLQ),Vueling ,VY6524,Departure,06:10,1, Landed - On-time,2019-12-09,06:01,B34
21,2019-12-09,Bologna,(BLQ),Iberia ,IB5607,Departure,06:10,1, Landed - On-time,2019-12-09,06:01,B34
22,2019-12-09,Bologna,(BLQ),Qatar Airways ,QR3650,Departure,06:10,1, Landed - On-time,2019-12-09,06:01,B34
23,2019-12-09,Santander,(SDR),Ryanair ,FR6384,Departure,06:10,2, Landed - On-time,2019-12-09,06:07,S25
24,2019-12-09,Florence,(FLR),Vueling ,VY6001,Departure,06:15,1, Landed - On-time,2019-12-09,06:13,B33
25,2019-12-09,Florence,(FLR),British Airways ,BA8158,Departure,06:15,1, Landed - On-time,2019-12-09,06:13,B33
26,2019-12-09,Florence,(FLR),Iberia ,IB5505,Departure,06:15,1, Landed - On-time,2019-12-09,06:13,B33
27,2019-12-09,Florence,(FLR),Qatar Airways ,QR3576,Departure,06:15,1, Landed - On-time,2019-12-09,06:13,B33
28,2019-12-09,Las Palmas,(LPA),Vueling ,VY3006,Departure,06:15,1, Landed - On-time,2019-12-09,06:07,C71
29,2019-12-09,Las Palmas,(LPA),Iberia ,IB5286,Departure,06:15,1, Landed - On-time,2019-12-09,06:07,C71
30,2019-12-09,Las Palmas,(LPA),Qatar Airways ,QR3623,Departure,06:15,1, Landed - On-time,2019-12-09,06:07,C71
31,2019-12-09,Brussels,(BRU),Ryanair ,FR2918,Departure,06:20,2, Landed - On-time,2019-12-09,06:25,R13
32,2019-12-09,Paris,(CDG),Air France ,AF1449,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
33,2019-12-09,Paris,(CDG),Aeromexico ,AM6009,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
34,2019-12-09,Paris,(CDG),China Southern Airlines ,CZ7062,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
35,2019-12-09,Paris,(CDG),Delta Air Lines ,DL8445,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
36,2019-12-09,Paris,(CDG),Gol ,G35206,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
37,2019-12-09,Paris,(CDG),Air Serbia ,JU7812,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
38,2019-12-09,Paris,(CDG),Kenya Airways ,KQ3049,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
39,2019-12-09,Paris,(CDG),Air Mauritius ,MK9543,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
40,2019-12-09,Paris,(CDG),China Eastern Airlines ,MU8636,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
41,2019-12-09,Paris,(CDG),Air Europa ,UX2208,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
42,2019-12-09,Paris,(CDG),Vietnam Airlines ,VN3679,Departure,06:20,1, Landed - On-time,2019-12-09,06:22,B24
43,2019-12-09,Tenerife,(TFN),Ryanair ,FR3063,Departure,06:20,2, Landed - On-time,2019-12-09,06:20,U32
44,2019-12-09,Milan,(BGY),Ryanair ,FR6353,Departure,06:25,2, Landed - On-time,2019-12-09,06:30,U31
45,2019-12-09,Rome,(FCO),Alitalia ,AZ75,Departure,06:25,1, Landed,2019-12-09,06:25,-
46,2019-12-09,Rome,(FCO),Aerolineas Argentinas ,AR7225,Departure,06:25,1, Landed,2019-12-09,06:25,-
47,2019-12-09,Rome,(FCO),China Southern Airlines ,CZ7397,Departure,06:25,1, Landed,2019-12-09,06:25,-
48,2019-12-09,Rome,(FCO),Delta Air Lines ,DL6596,Departure,06:25,1, Landed,2019-12-09,06:25,-
49,2019-12-09,Rome,(FCO),Etihad Airways ,EY2821,Departure,06:25,1, Landed,2019-12-09,06:25,-
