,Scheduled Date,City,IATA,Airline,Flight,Operation,Scheduled Time,Terminal,Status,Real Date,Real Time,Gate
0,2019-12-10,Buenos Aires,(EZE),Iberia ,IB2601,Departure,01:30,1, Landed - On-time,2019-12-10,01:29,E73
1,2019-12-10,Palma Mallorca,(PMI),Swiftair,WT112,Departure,04:30,, Scheduled,2019-12-10,04:30,-
2,2019-12-10,Algiers,(ALG),Vueling ,VY7476,Departure,06:00,1, Landed - On-time,2019-12-10,05:50,E74
3,2019-12-10,Algiers,(ALG),Iberia ,IB5682,Departure,06:00,1, Landed - On-time,2019-12-10,05:50,E74
4,2019-12-10,Amsterdam,(AMS),KLM ,KL1662,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
5,2019-12-10,Amsterdam,(AMS),China Airlines ,CI9394,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
6,2019-12-10,Amsterdam,(AMS),China Southern Airlines ,CZ7795,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
7,2019-12-10,Amsterdam,(AMS),Delta Air Lines ,DL9678,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
8,2019-12-10,Amsterdam,(AMS),Etihad Airways ,EY7354,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
9,2019-12-10,Amsterdam,(AMS),Gol ,G35681,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
10,2019-12-10,Amsterdam,(AMS),Garuda Indonesia ,GA9247,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
11,2019-12-10,Amsterdam,(AMS),Kenya Airways ,KQ1662,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
12,2019-12-10,Amsterdam,(AMS),Xiamen Airlines ,MF9680,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
13,2019-12-10,Amsterdam,(AMS),China Eastern Airlines ,MU1840,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
14,2019-12-10,Amsterdam,(AMS),UIA ,PS9432,Departure,06:00,1, Landed - Delayed,2019-12-10,06:23,A21
15,2019-12-10,Frankfurt,(FRA),Lufthansa ,LH1139,Departure,06:00,1, Landed - On-time,2019-12-10,05:59,C75
16,2019-12-10,Frankfurt,(FRA),Air Canada ,AC9183,Departure,06:00,1, Landed - On-time,2019-12-10,05:59,C75
17,2019-12-10,Frankfurt,(FRA),SAS ,SK3391,Departure,06:00,1, Landed - On-time,2019-12-10,05:59,C75
18,2019-12-10,Frankfurt,(FRA),United Airlines ,UA9194,Departure,06:00,1, Landed - On-time,2019-12-10,05:59,C75
19,2019-12-10,Frankfurt,(FRA),Oman Air ,WY5539,Departure,06:00,1, Landed - On-time,2019-12-10,05:59,C75
20,2019-12-10,Florence,(FLR),Vueling ,VY6001,Departure,06:15,1, Landed - On-time,2019-12-10,06:13,B43
21,2019-12-10,Florence,(FLR),British Airways ,BA8158,Departure,06:15,1, Landed - On-time,2019-12-10,06:13,B43
22,2019-12-10,Florence,(FLR),Iberia ,IB5505,Departure,06:15,1, Landed - On-time,2019-12-10,06:13,B43
23,2019-12-10,Florence,(FLR),Qatar Airways ,QR3576,Departure,06:15,1, Landed - On-time,2019-12-10,06:13,B43
24,2019-12-10,Paris,(CDG),Air France ,AF1449,Departure,06:20,1, Landed - Delayed,2019-12-10,06:39,A22
25,2019-12-10,Paris,(CDG),Aeromexico ,AM6009,Departure,06:20,1, Landed - Delayed,2019-12-10,06:39,A22
26,2019-12-10,Paris,(CDG),China Southern Airlines ,CZ7062,Departure,06:20,1, Landed - Delayed,2019-12-10,06:39,A22
27,2019-12-10,Paris,(CDG),Delta Air Lines ,DL8445,Departure,06:20,1, Landed - Delayed,2019-12-10,06:39,A22
28,2019-12-10,Paris,(CDG),Gol ,G35206,Departure,06:20,1, Landed - Delayed,2019-12-10,06:39,A22
