,Scheduled Date,City,IATA,Airline,Flight,Operation,Scheduled Time,Terminal,Status,Real Date,Real Time,Gate
0,2019-12-15,Buenos Aires,(EZE),Iberia ,IB2601,Departure,01:30,1, Landed - On-time,2019-12-15,01:28,D16
1,2019-12-15,Palma Mallorca,(PMI),Swiftair,WT112,Departure,04:30,, En Route,2019-12-15,04:30,-
2,2019-12-15,Algiers,(ALG),Vueling ,VY7476,Departure,06:00,1, Landed - On-time,2019-12-15,05:58,D15
3,2019-12-15,Algiers,(ALG),Iberia ,IB5682,Departure,06:00,1, Landed - On-time,2019-12-15,05:58,D15
4,2019-12-15,Amsterdam,(AMS),KLM ,KL1662,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
5,2019-12-15,Amsterdam,(AMS),China Airlines ,CI9394,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
6,2019-12-15,Amsterdam,(AMS),China Southern Airlines ,CZ7795,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
7,2019-12-15,Amsterdam,(AMS),Delta Air Lines ,DL9678,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
8,2019-12-15,Amsterdam,(AMS),Etihad Airways ,EY7354,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
9,2019-12-15,Amsterdam,(AMS),Gol ,G35681,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
10,2019-12-15,Amsterdam,(AMS),Garuda Indonesia ,GA9247,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
11,2019-12-15,Amsterdam,(AMS),Kenya Airways ,KQ1662,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
12,2019-12-15,Amsterdam,(AMS),Xiamen Airlines ,MF9680,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
13,2019-12-15,Amsterdam,(AMS),China Eastern Airlines ,MU1840,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
14,2019-12-15,Amsterdam,(AMS),UIA ,PS9432,Departure,06:00,1, Landed - Delayed,2019-12-15,06:51,A22
15,2019-12-15,Frankfurt,(FRA),Lufthansa ,LH1139,Departure,06:00,1, Landed - On-time,2019-12-15,05:55,C72
16,2019-12-15,Frankfurt,(FRA),Air Canada ,AC9183,Departure,06:00,1, Landed - On-time,2019-12-15,05:55,C72
17,2019-12-15,Frankfurt,(FRA),United Airlines ,UA9194,Departure,06:00,1, Landed - On-time,2019-12-15,05:55,C72
18,2019-12-15,Frankfurt,(FRA),Oman Air ,WY5539,Departure,06:00,1, Landed - On-time,2019-12-15,05:55,C72
19,2019-12-15,Bologna,(BLQ),Vueling ,VY6524,Departure,06:10,1, Landed - On-time,2019-12-15,06:06,B47
