,Scheduled Date,City,IATA,Airline,Flight,Operation,Scheduled Time,Terminal,Status,Real Date,Real Time,Gate
0,2019-12-14,Buenos Aires,(EZE),Iberia ,IB2601,Departure,01:30,1, Landed - On-time,2019-12-14,01:41,D16
1,2019-12-14,Palma Mallorca,(PMI),Swiftair,WT112,Departure,04:30,, Scheduled,2019-12-14,04:30,-
2,2019-12-14,Algiers,(ALG),Vueling ,VY7476,Departure,06:00,1, Landed - On-time,2019-12-14,05:47,E74
3,2019-12-14,Algiers,(ALG),Iberia ,IB5682,Departure,06:00,1, Landed - On-time,2019-12-14,05:47,E74
4,2019-12-14,Amsterdam,(AMS),KLM ,KL1662,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
5,2019-12-14,Amsterdam,(AMS),China Airlines ,CI9394,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
6,2019-12-14,Amsterdam,(AMS),China Southern Airlines ,CZ7795,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
7,2019-12-14,Amsterdam,(AMS),Delta Air Lines ,DL9678,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
8,2019-12-14,Amsterdam,(AMS),Etihad Airways ,EY7354,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
9,2019-12-14,Amsterdam,(AMS),Gol ,G35681,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
10,2019-12-14,Amsterdam,(AMS),Garuda Indonesia ,GA9247,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
11,2019-12-14,Amsterdam,(AMS),Kenya Airways ,KQ1662,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
12,2019-12-14,Amsterdam,(AMS),Xiamen Airlines ,MF9680,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
13,2019-12-14,Amsterdam,(AMS),China Eastern Airlines ,MU1840,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
14,2019-12-14,Amsterdam,(AMS),UIA ,PS9432,Departure,06:00,1, Landed - Delayed,2019-12-14,06:17,A22
15,2019-12-14,Frankfurt,(FRA),Lufthansa ,LH1139,Departure,06:00,1, Landed - On-time,2019-12-14,05:58,B62
16,2019-12-14,Frankfurt,(FRA),Air Canada ,AC9183,Departure,06:00,1, Landed - On-time,2019-12-14,05:58,B62
17,2019-12-14,Frankfurt,(FRA),SAS ,SK3391,Departure,06:00,1, Landed - On-time,2019-12-14,05:58,B62
18,2019-12-14,Frankfurt,(FRA),Oman Air ,WY5539,Departure,06:00,1, Landed - On-time,2019-12-14,05:58,B62
19,2019-12-14,Marrakech,(RAK),Vueling ,VY7336,Departure,06:10,1, Landed - On-time,2019-12-14,06:07,D8
20,2019-12-14,Marrakech,(RAK),Iberia ,IB5663,Departure,06:10,1, Landed - On-time,2019-12-14,06:07,D8
21,2019-12-14,Florence,(FLR),Vueling ,VY6001,Departure,06:15,1, Landed - On-time,2019-12-14,06:05,C71
22,2019-12-14,Florence,(FLR),British Airways ,BA8158,Departure,06:15,1, Landed - On-time,2019-12-14,06:05,C71
23,2019-12-14,Florence,(FLR),Iberia ,IB5505,Departure,06:15,1, Landed - On-time,2019-12-14,06:05,C71
24,2019-12-14,Florence,(FLR),Qatar Airways ,QR3576,Departure,06:15,1, Landed - On-time,2019-12-14,06:05,C71
25,2019-12-14,Geneva,(GVA),easyJet ,U21402,Departure,06:15,2, Landed - On-time,2019-12-14,06:11,-
26,2019-12-14,Brussels,(BRU),Ryanair ,FR2918,Departure,06:20,2, Landed - On-time,2019-12-14,06:20,S24
27,2019-12-14,Paris,(CDG),Air France ,AF1449,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
28,2019-12-14,Paris,(CDG),Aeromexico ,AM6009,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
29,2019-12-14,Paris,(CDG),China Southern Airlines ,CZ7062,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
30,2019-12-14,Paris,(CDG),Delta Air Lines ,DL8445,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
31,2019-12-14,Paris,(CDG),Gol ,G35206,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
32,2019-12-14,Paris,(CDG),Air Serbia ,JU7812,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
33,2019-12-14,Paris,(CDG),Kenya Airways ,KQ3049,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
34,2019-12-14,Paris,(CDG),Air Mauritius ,MK9543,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
35,2019-12-14,Paris,(CDG),China Eastern Airlines ,MU8636,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
36,2019-12-14,Paris,(CDG),Air Europa ,UX2208,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
37,2019-12-14,Paris,(CDG),Vietnam Airlines ,VN3679,Departure,06:20,1, Landed - On-time,2019-12-14,06:22,A21
38,2019-12-14,Porto,(OPO),Vueling ,VY8476,Departure,06:20,1, Landed - On-time,2019-12-14,06:17,B33
39,2019-12-14,Porto,(OPO),Iberia ,IB5222,Departure,06:20,1, Landed - On-time,2019-12-14,06:17,B33
40,2019-12-14,Porto,(OPO),Qatar Airways ,QR3607,Departure,06:20,1, Landed - On-time,2019-12-14,06:17,B33
41,2019-12-14,London,(STN),Ryanair ,FR9815,Departure,06:20,2, Landed - On-time,2019-12-14,06:20,Y55
42,2019-12-14,Tenerife,(TFN),Ryanair ,FR3063,Departure,06:20,2, Landed - On-time,2019-12-14,06:20,R13
43,2019-12-14,Milan,(BGY),Ryanair ,FR6353,Departure,06:25,2, Landed - On-time,2019-12-14,06:25,U34
44,2019-12-14,Rome,(FCO),Alitalia ,AZ75,Departure,06:25,1, Landed,2019-12-14,06:25,-
45,2019-12-14,Rome,(FCO),Aerolineas Argentinas ,AR7225,Departure,06:25,1, Landed,2019-12-14,06:25,-
46,2019-12-14,Rome,(FCO),China Southern Airlines ,CZ7397,Departure,06:25,1, Landed,2019-12-14,06:25,-
47,2019-12-14,Rome,(FCO),Delta Air Lines ,DL6596,Departure,06:25,1, Landed,2019-12-14,06:25,-
48,2019-12-14,Rome,(FCO),Etihad Airways ,EY2821,Departure,06:25,1, Landed,2019-12-14,06:25,-
49,2019-12-14,Rome,(FCO),Bulgaria Air ,FB1728,Departure,06:25,1, Landed,2019-12-14,06:25,-
50,2019-12-14,Rome,(FCO),Hainan Airlines ,HU8664,Departure,06:25,1, Landed,2019-12-14,06:25,-
51,2019-12-14,Rome,(FCO),Air Serbia ,JU7265,Departure,06:25,1, Landed,2019-12-14,06:25,-
52,2019-12-14,Rome,(FCO),Kenya Airways ,KQ3425,Departure,06:25,1, Landed,2019-12-14,06:25,-
53,2019-12-14,Rome,(FCO),Middle East Airlines ,ME2075,Departure,06:25,1, Landed,2019-12-14,06:25,-
54,2019-12-14,Rome,(FCO),Air Europa ,UX3124,Departure,06:25,1, Landed,2019-12-14,06:25,-
55,2019-12-14,Paris,(BVA),Ryanair ,FR6374,Departure,06:35,2, Landed - On-time,2019-12-14,06:35,U31
56,2019-12-14,Rome,(FCO),Ryanair ,FR6341,Departure,06:35,2, Landed - On-time,2019-12-14,06:35,S22
57,2019-12-14,Berlin,(SXF),Ryanair ,FR149,Departure,06:35,2, Landed - Delayed,2019-12-14,07:48,S20
58,2019-12-14,Tangier,(TNG),Vueling ,VY7364,Departure,06:35,1, Landed - On-time,2019-12-14,06:49,D11
59,2019-12-14,Tangier,(TNG),Iberia ,IB5669,Departure,06:35,1, Landed - On-time,2019-12-14,06:49,D11
60,2019-12-14,San Sebastian,(EAS),Vueling ,VY2486,Departure,06:40,1, Landed - On-time,2019-12-14,06:39,B34
61,2019-12-14,San Sebastian,(EAS),Iberia ,IB5219,Departure,06:40,1, Landed - On-time,2019-12-14,06:39,B34
62,2019-12-14,San Sebastian,(EAS),Qatar Airways ,QR3525,Departure,06:40,1, Landed - On-time,2019-12-14,06:39,B34
63,2019-12-14,Lisbon,(LIS),TAP Air Portugal ,TP1049,Departure,06:40,1, Landed - On-time,2019-12-14,06:48,A18
64,2019-12-14,Lisbon,(LIS),Azores Airlines ,S48045,Departure,06:40,1, Landed - On-time,2019-12-14,06:48,A18
65,2019-12-14,Lisbon,(LIS),United Airlines ,UA6872,Departure,06:40,1, Landed - On-time,2019-12-14,06:48,A18
66,2019-12-14,Las Palmas,(LPA),Vueling ,VY3006,Departure,06:40,1, Landed - On-time,2019-12-14,06:40,B51
67,2019-12-14,Las Palmas,(LPA),Iberia ,IB5286,Departure,06:40,1, Landed - On-time,2019-12-14,06:40,B51
68,2019-12-14,Las Palmas,(LPA),Qatar Airways ,QR3623,Departure,06:40,1, Landed - On-time,2019-12-14,06:40,B51
69,2019-12-14,Santiago De Compostela,(SCQ),Ryanair ,FR6332,Departure,06:40,2, Landed - On-time,2019-12-14,06:40,U33
70,2019-12-14,Alicante,(ALC),Vueling ,VY1302,Departure,06:45,1, Landed - On-time,2019-12-14,06:42,B39
71,2019-12-14,Alicante,(ALC),Iberia ,IB5025,Departure,06:45,1, Landed - On-time,2019-12-14,06:42,B39
72,2019-12-14,Alicante,(ALC),Qatar Airways ,QR3797,Departure,06:45,1, Landed - On-time,2019-12-14,06:42,B39
73,2019-12-14,Brussels,(BRU),Vueling ,VY8988,Departure,06:50,1, Landed - On-time,2019-12-14,06:50,A14
74,2019-12-14,Brussels,(BRU),Iberia ,IB5843,Departure,06:50,1, Landed - On-time,2019-12-14,06:50,A14
75,2019-12-14,Ibiza,(IBZ),Ryanair ,FR8136,Departure,06:50,2, Landed - On-time,2019-12-14,06:52,S23
76,2019-12-14,Asturias,(OVD),Vueling ,VY1573,Departure,06:50,1, Landed - On-time,2019-12-14,06:49,B65
77,2019-12-14,Asturias,(OVD),Iberia ,IB5100,Departure,06:50,1, Landed - On-time,2019-12-14,06:49,B65
78,2019-12-14,Asturias,(OVD),Qatar Airways ,QR3698,Departure,06:50,1, Landed - On-time,2019-12-14,06:49,B65
79,2019-12-14,Sevilla,(SVQ),Vueling ,VY2212,Departure,06:50,1, Landed - On-time,2019-12-14,06:46,B25
80,2019-12-14,Sevilla,(SVQ),Iberia ,IB5190,Departure,06:50,1, Landed - On-time,2019-12-14,06:46,B25
81,2019-12-14,Sevilla,(SVQ),Qatar Airways ,QR3534,Departure,06:50,1, Landed - On-time,2019-12-14,06:46,B25
82,2019-12-14,Malaga,(AGP),Ryanair ,FR6386,Departure,06:55,2, Landed - On-time,2019-12-14,06:55,R14
83,2019-12-14,Frankfurt,(FRA),Lufthansa ,LH1137,Departure,06:55,1, Landed - On-time,2019-12-14,07:03,B52
