,Scheduled Date,City,IATA,Airline,Flight,Operation,Scheduled Time,Terminal,Status,Real Date,Real Time,Gate
0,2019-12-12,Buenos Aires,(EZE),Iberia ,IB2601,Departure,01:30,1, Landed - On-time,2019-12-12,01:32,D16
1,2019-12-12,Palma Mallorca,(PMI),Swiftair,WT112,Departure,04:30,, Unknown,2019-12-12,04:30,-
2,2019-12-12,Moscow,(DME),Vueling ,VY9990,Departure,05:30,, Unknown,2019-12-12,05:30,-
3,2019-12-12,Algiers,(ALG),Vueling ,VY7476,Departure,06:00,1, Landed - On-time,2019-12-12,05:48,D3
4,2019-12-12,Algiers,(ALG),Iberia ,IB5682,Departure,06:00,1, Landed - On-time,2019-12-12,05:48,D3
5,2019-12-12,Amsterdam,(AMS),KLM ,KL1662,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
6,2019-12-12,Amsterdam,(AMS),China Airlines ,CI9394,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
7,2019-12-12,Amsterdam,(AMS),China Southern Airlines ,CZ7795,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
8,2019-12-12,Amsterdam,(AMS),Delta Air Lines ,DL9678,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
9,2019-12-12,Amsterdam,(AMS),Etihad Airways ,EY7354,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
10,2019-12-12,Amsterdam,(AMS),Gol ,G35681,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
11,2019-12-12,Amsterdam,(AMS),Garuda Indonesia ,GA9247,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
12,2019-12-12,Amsterdam,(AMS),Kenya Airways ,KQ1662,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
13,2019-12-12,Amsterdam,(AMS),Xiamen Airlines ,MF9680,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
14,2019-12-12,Amsterdam,(AMS),China Eastern Airlines ,MU1840,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
15,2019-12-12,Amsterdam,(AMS),UIA ,PS9432,Departure,06:00,1, Landed - On-time,2019-12-12,06:09,C75
16,2019-12-12,Frankfurt,(FRA),Lufthansa ,LH1139,Departure,06:00,1, Landed - On-time,2019-12-12,05:57,B28
17,2019-12-12,Frankfurt,(FRA),Air Canada ,AC9183,Departure,06:00,1, Landed - On-time,2019-12-12,05:57,B28
18,2019-12-12,Frankfurt,(FRA),SAS ,SK3391,Departure,06:00,1, Landed - On-time,2019-12-12,05:57,B28
19,2019-12-12,Frankfurt,(FRA),United Airlines ,UA9194,Departure,06:00,1, Landed - On-time,2019-12-12,05:57,B28
20,2019-12-12,Frankfurt,(FRA),Oman Air ,WY5539,Departure,06:00,1, Landed - On-time,2019-12-12,05:57,B28
21,2019-12-12,Florence,(FLR),Vueling ,VY6001,Departure,06:15,1, Landed - On-time,2019-12-12,06:14,B44
22,2019-12-12,Florence,(FLR),British Airways ,BA8158,Departure,06:15,1, Landed - On-time,2019-12-12,06:14,B44
23,2019-12-12,Florence,(FLR),Iberia ,IB5505,Departure,06:15,1, Landed - On-time,2019-12-12,06:14,B44
24,2019-12-12,Florence,(FLR),Qatar Airways ,QR3576,Departure,06:15,1, Landed - On-time,2019-12-12,06:14,B44
25,2019-12-12,Brussels,(BRU),Ryanair ,FR2918,Departure,06:20,2, Landed - Delayed,2019-12-12,06:45,U31
26,2019-12-12,Paris,(CDG),Air France ,AF1449,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
27,2019-12-12,Paris,(CDG),Aeromexico ,AM6009,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
28,2019-12-12,Paris,(CDG),China Southern Airlines ,CZ7062,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
29,2019-12-12,Paris,(CDG),Delta Air Lines ,DL8445,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
30,2019-12-12,Paris,(CDG),Gol ,G35206,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
31,2019-12-12,Paris,(CDG),Air Serbia ,JU7812,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
32,2019-12-12,Paris,(CDG),Kenya Airways ,KQ3049,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
33,2019-12-12,Paris,(CDG),Air Mauritius ,MK9543,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
34,2019-12-12,Paris,(CDG),China Eastern Airlines ,MU8636,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
35,2019-12-12,Paris,(CDG),Air Europa ,UX2208,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
36,2019-12-12,Paris,(CDG),Vietnam Airlines ,VN3679,Departure,06:20,1, Landed - On-time,2019-12-12,06:31,B52
37,2019-12-12,Tenerife,(TFN),Ryanair ,FR3063,Departure,06:20,2, Landed - On-time,2019-12-12,06:20,U41
38,2019-12-12,Milan,(BGY),Ryanair ,FR6353,Departure,06:25,2, Landed - On-time,2019-12-12,06:22,S25
39,2019-12-12,Rome,(FCO),Alitalia ,AZ75,Departure,06:25,1, Landed,2019-12-12,06:25,-
40,2019-12-12,Rome,(FCO),Aerolineas Argentinas ,AR7225,Departure,06:25,1, Landed,2019-12-12,06:25,-
41,2019-12-12,Rome,(FCO),China Southern Airlines ,CZ7397,Departure,06:25,1, Landed,2019-12-12,06:25,-
42,2019-12-12,Rome,(FCO),Delta Air Lines ,DL6596,Departure,06:25,1, Landed,2019-12-12,06:25,-
43,2019-12-12,Rome,(FCO),Etihad Airways ,EY2821,Departure,06:25,1, Landed,2019-12-12,06:25,-
44,2019-12-12,Rome,(FCO),Bulgaria Air ,FB1728,Departure,06:25,1, Landed,2019-12-12,06:25,-
45,2019-12-12,Rome,(FCO),Hainan Airlines ,HU8664,Departure,06:25,1, Landed,2019-12-12,06:25,-
